Название продукта	Содержание калия в 100гр	Процент суточной потребности калия
Гречиха (зерно)	325 мг	13%
Каша гречневая (из крупы ядрица)	126 мг	5%
Крупа гречневая (продел)	320 мг	13%
Крупа гречневая (ядрица)	380 мг	15%
Крупа кукурузная	147 мг	6%
Крупа манная	130 мг	5%
Крупа овсяная	362 мг	14%
Крупа перловая	172 мг	7%
Крупа пшеничная	230 мг	9%
Крупа пшено (шлифованное)	211 мг	8%
Крупа рисовая	100 мг	4%
Крупа ячневая	205 мг	8%
Кукуруза сладкая	270 мг	11%
Макароны из муки 1 сорта	178 мг	7%
Макароны из муки в/с	123 мг	5%
Мука гречневая	577 мг	23%
Мука кукурузная	147 мг	6%
Мука овсяная	280 мг	11%
Мука овсяная (толокно)	351 мг	14%
Мука пшеничная 1 сорта	176 мг	7%
Мука пшеничная 2 сорта	251 мг	10%
Мука пшеничная в/с	122 мг	5%
Мука пшеничная обойная	310 мг	12%
Мука ржаная обдирная	350 мг	14%
Мука ржаная обойная	396 мг	16%
Мука ржаная сеяная	200 мг	8%
Мука рисовая	50 мг	2%
Овёс (зерно)	421 мг	17%
Отруби овсяные	566 мг	23%
Отруби пшеничные	1260 мг	50%
Пшеница (зерно, мягкий сорт)	337 мг	13%
Пшеница (зерно, твердый сорт)	325 мг	13%
Рис (зерно)	314 мг	13%
Рожь (зерно)	424 мг	17%
Хлеб бородинский	235 мг	9%
Хлеб пшеничный (из муки 1 сорта)	133 мг	5%
Хлеб пшеничный (из муки в/с)	93 мг	4%
Хлеб пшеничный (из обойной муки)	245 мг	10%
Хлеб рижский	155 мг	6%
Хлеб цельнозерновой	248 мг	10%
Хлопья овсяные "Геркулес"	330 мг	13%
Ячмень (зерно)	453 мг	18%