Название продукта,Содержание магния в 100гр,Процент суточной потребности магния
Кунжут,540,135
Отруби пшеничные,448,112
Какао порошок,425,106
Семена подсолнечника (семечки),317,79
Кешью,270,68
Гречиха (зерно),258,65
Кедровый орех,251,63
Мука гречневая,251,63
Отруби овсяные,235,59
Миндаль,234,59
Соя (зерно),226,57
Крупа гречневая (ядрица),200,50
Арахис,182,46
Халва подсолнечная,178,45
Маш,174,44
Морская капуста,170,43
Молоко сухое нежирное,160,40
Фундук,160,40
Крупа гречневая (продел),150,38
Ячмень (зерно),150,38
Молоко сухое 15,139,35
Овёс (зерно),135,34
Шоколад горький,133,33
Икра красная зернистая,129,32
Хлопья овсяные "Геркулес",129,32
Нут,126,32
Фисташки,121,30
Грецкий орех,120,30
Рожь (зерно),120,30
Молоко сухое 25,119,30
Крупа овсяная,116,29
Рис (зерно),116,29
Пшеница (зерно твердый сорт),114,29
Мука овсяная (толокно),111,28
Мука овсяная,110,28
Пшеница (зерно мягкий сорт),108,27
Курага,105,26
Фасоль (зерно),103,26
Грибы белые сушёные,102,26
Чернослив,102,26
Конфеты шоколадные,99,25
Мука пшеничная обойная,94,24
Кальмар,90,23
Горох (лущеный),88,22
Петрушка (зелень),85,21
Щавель (зелень),85,21
Крупа пшено (шлифованное),83,21
Желуди сушёные,82,21
Хлеб цельнозерновой,82,21
Шпинат (зелень),82,21
Сливки сухие 42,80,20
Чечевица (зерно),80,20
Макароны из муки в/с,76,19
Мука ржаная обойная,75,19
Мука пшеничная 2 сорта,73,18
Укроп (зелень),70,18
Финики,69,17
Шоколад молочный,68,17
Каша гречневая (из крупы ядрица),67,17
Базилик (зелень),64,16
Крупа пшеничная,60,15
Мука ржаная обдирная,60,15
Окунь морской,60,15
Инжир,59,15
Горбуша натуральная (консервы),56,14
Хурма,56,14
Минтай,55,14
Сыр "Голландский" 45,55,14
Шпроты в масле (консервы),55,14
Сыр "Чеддер" 50,54,14
Креветка,50,13
Крупа рисовая,50,13
Крупа ячневая,50,13
Печень трески (консервы),50,13
Сельдерей (зелень),50,13
Скумбрия,50,13
Хлеб бородинский,49,12
Хлеб пшеничный (из обойной муки),47,12
Макароны из муки 1 сорта,45,11
Сыр "Пошехонский" 45,45,11
Сыр "Швейцарский" 50,45,11